QuestID,NpcTemplateID,NpcGroupID,Desc,Icon,BaseClass,SubClass,Name1,KillCount1,AchievementPts1,RewardExp1,AutoTrace1,MinTraceLevel1,MaxTraceLevel1,Hide1,Name2,KillCount2,AchievementPts2,RewardExp2,AutoTrace2,MinTraceLevel2,MaxTraceLevel2,Hide2,Name3,KillCount3,AchievementPts3,RewardExp3,AutoTrace3,MinTraceLevel3,MaxTraceLevel3,Hide3,Name4,KillCount4,AchievementPts4,RewardExp4,AutoTrace4,MinTraceLevel4,MaxTraceLevel4,Hide4,Name5,KillCount5,AchievementPts5,RewardExp5,AutoTrace5,MinTraceLevel5,MaxTraceLevel5,Hide5,Name6,KillCount6,AchievementPts6,RewardExp6,AutoTrace6,MinTraceLevel6,MaxTraceLevel6,Hide6,Name7,KillCount7,AchievementPts7,RewardExp7,AutoTrace7,MinTraceLevel7,MaxTraceLevel7,Hide7,Name8,KillCount8,AchievementPts8,RewardExp8,AutoTrace8,MinTraceLevel8,MaxTraceLevel8,Hide8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,10003,在边界村击败%d个稻草人。,img://UI_Achievement.monster.801,3,2,稻草人杀手,10,5,50,0,0,0,0,稻草人猎手,50,5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,10004,在边界村击败%d个钉耙猫。,img://UI_Achievement.monster.802,3,2,钉耙猫杀手,10,5,80,0,0,0,0,钉耙猫猎手,50,5,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,10025,在比奇省击败%d个僵尸。,img://UI_Achievement.monster.901,3,3,尸魔猎人,10,10,930,0,0,0,0,尸魔猎手,50,10,2170,0,0,0,0,尸魔宿敌,200,10,3100,0,0,0,0,尸魔克星,1000,30,9300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,10024,在比奇省击败%d个半兽人或半兽人战士。,img://UI_Achievement.monster.803,3,3,比奇半兽人驱逐者,10,10,140,0,0,0,0,比奇半兽人抗击者,50,10,430,0,0,0,0,比奇半兽人狙击者,200,10,1220,0,0,0,0,比奇半兽人灭绝者,1000,30,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,10010,在沃玛森林击败%d个熊、鹿或狼。,img://UI_Achievement.monster.3131,3,4,动物杀手,10,10,140,0,0,0,0,动物猎手,50,10,430,0,0,0,0,动物宿敌,200,10,1220,0,0,0,0,动物克星,1000,30,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,10009,在沃玛森林击败%d个半兽人、半兽人战士或半兽人勇士。,img://UI_Achievement.monster.803,3,4,半兽人杀手,10,10,140,0,0,0,0,半兽人猎手,50,10,430,0,0,0,0,半兽人宿敌,200,10,1220,0,0,0,0,半兽人克星,1000,30,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,10042,在沃玛森林击败%d个巨力士：虎勇、火舞者或冰刀。,img://UI_Achievement.monster.803,3,4,巨力士征服者,1,20,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,10043,在沃玛森林击败%d个蛮战士：怒号、血角或铜须。,img://UI_Achievement.monster.3126,3,4,蛮战士征服者,1,20,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,10015,在盟重省击败%d个盔甲虫/腐蚀虫/多角虫/巨型多角虫。,img://UI_Achievement.monster.961,3,5,盟重虫族杀手,10,10,190,0,0,0,0,盟重虫族猎手,50,10,580,0,0,0,0,盟重虫族宿敌,200,10,1630,0,0,0,0,盟重虫族克星,1000,30,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,10016,在盟重省击败%d个狼。,img://UI_Achievement.monster.3134,3,5,盟重狼杀手,10,10,170,0,0,0,0,盟重狼猎手,50,10,500,0,0,0,0,盟重狼宿敌,200,10,1430,0,0,0,0,盟重狼克星,1000,30,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,10048,在盟重省击败%d个废墟魔狼：丑面、尖耳或疾电。,img://UI_Achievement.monster.3134,3,5,废墟魔狼征服者,1,20,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,10049,在盟重省击败%d个铁腹角虫：六足、尖角或斑纹。,img://UI_Achievement.monster.963,3,5,铁腹角虫征服者,1,20,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2113,0,杀死%d个分布在幽冥海四层的毒魔。,img://UI_Achievement.monster.2113,4,1,降魔斗士,20,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,10006,在比奇矿区击败%d个僵尸。,img://UI_Achievement.monster.901,3,6,僵尸杀手,20,10,1900,0,0,0,0,僵尸猎手,100,10,5600,0,0,0,0,僵尸宿敌,500,10,16700,0,0,0,0,僵尸克星,2000,30,37800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,10038,在比奇矿区击败%d个僵尸护卫：杜杀、黑子或黑鹰。,img://UI_Achievement.monster.3097,3,6,僵尸护卫征服者,1,20,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,10039,在比奇矿区击败%d个僵尸强盗：黑山、金豹或杜冷。,img://UI_Achievement.monster.3100,3,6,僵尸强盗征服者,1,20,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2189,0,在皇室宝库里杀死%d个宝库大盗。,img://UI_Achievement.monster.3135,4,1,人生赢家,2,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,3248,0,杀死%d个虹魔教主身边的白野猪暴徒。,img://UI_Achievement.monster.1034,4,1,铲除帮凶,10,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,5268,0,在尸王殿击败%d次尸王。,img://UI_Achievement.monster.5268,3,6,首杀：尸王,1,50,20000,0,0,0,0,尸王杀手,10,50,40000,0,0,0,0,尸王收割者,50,50,80000,0,0,0,0,尸王扫荡者,100,50,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,10014,在沃玛寺庙击败%d个山洞蝙蝠或黑色恶蛆。,img://UI_Achievement.monster.3110,3,7,黑暗生物杀手,50,10,5100,0,0,0,0,黑暗生物猎手,200,10,12800,0,0,0,0,黑暗生物宿敌,1000,10,30600,0,0,0,0,黑暗生物克星,3000,30,63800,0,0,0,0,黑暗生物的噩梦,10000,50,143000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,10013,击败%d个沃玛战士/卫兵/斥候/勇士/战将/火焰沃玛。,img://UI_Achievement.monster.942,3,7,沃玛生物杀手,50,10,6600,0,0,0,0,沃玛生物猎手,200,10,16500,0,0,0,0,沃玛生物宿敌,1000,10,39600,0,0,0,0,沃玛生物克星,3000,30,82500,0,0,0,0,沃玛生物的噩梦,10000,50,185000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,10044,在沃玛寺庙击败%d个疯魔卫：无畏、铁蹄或钢角。,img://UI_Achievement.monster.943,3,7,疯魔卫征服者,1,20,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,10045,在沃玛寺庙击败%d个鬼域守卫：鬼面、羊钉或怒锤。,img://UI_Achievement.monster.944,3,7,鬼域守卫征服者,1,20,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1078,0,杀死%d个祖玛教主身边的邪箭弓手。,img://UI_Achievement.monster.942,4,1,铲除鹰犬,10,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,5278,0,在沃玛寺庙三层击败%d次沃玛教主。,img://UI_Achievement.monster.5278,3,7,首杀：沃玛教主,1,50,35000,0,0,0,0,沃玛教主宿敌,10,50,70000,0,0,0,0,沃玛教主克星,50,50,140000,0,0,0,0,沃玛教主征服者,100,50,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,10018,在死亡峡谷击败%d个蜈蚣、巨型蠕虫、钳虫或跳跳蜂。,img://UI_Achievement.monster.1011,3,8,虫族杀手,50,10,6900,0,0,0,0,虫族猎手,200,10,17300,0,0,0,0,虫族宿敌,1000,10,41400,0,0,0,0,虫族克星,3000,30,86300,0,0,0,0,虫族的噩梦,10000,50,193000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,10052,在死亡峡谷击败%d个钳虫：战不死/锯骨狂/凶目魔或邪恶钳虫。,img://UI_Achievement.monster.1013,3,8,钳虫征服者,1,20,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,10053,在死亡峡谷击败%d个杀人蜂：铁翼、鬼影、妖刀或暗夜舞者。,img://UI_Achievement.monster.3219,3,8,杀人蜂征服者,1,20,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,5287,0,在死亡峡谷六层击败%d次触龙神。,img://UI_Achievement.monster.5287,3,8,首杀：触龙神,1,50,36000,0,0,0,0,触龙神杀手,10,50,72000,0,0,0,0,触龙神收割者,50,50,144000,0,0,0,0,触龙神扫荡者,100,50,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,10022,在石墓击败%d个黑色恶蛆。,img://UI_Achievement.monster.949,3,9,恶蛆杀手,50,10,5100,0,0,0,0,恶蛆猎手,200,10,12800,0,0,0,0,恶蛆宿敌,1000,10,30600,0,0,0,0,恶蛆克星,3000,30,63800,0,0,0,0,恶蛆的噩梦,10000,50,143000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,10021,在石墓击败%d个红野猪、黑野猪或白野猪。,img://UI_Achievement.monster.1032,3,9,野猪杀手,50,10,8600,0,0,0,0,野猪猎手,200,10,21500,0,0,0,0,野猪宿敌,1000,10,51500,0,0,0,0,野猪克星,3000,30,107300,0,0,0,0,野猪的噩梦,10000,50,240000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,10054,在石墓击败%d个咆哮战士：钢鬃、黑风或腐牙。,img://UI_Achievement.monster.1033,3,9,咆哮战士征服者,1,20,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,10055,在石墓击败%d个邪血卫士：狂徒、锐爪或猛鬼。,img://UI_Achievement.monster.1034,3,9,邪血卫士征服者,1,20,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,10069,在虹魔教坛击败%d次虹魔教主。,img://UI_Achievement.monster.5297,3,9,首杀：虹魔教主,1,50,50000,0,0,0,0,虹魔教主宿敌,10,50,100000,0,0,0,0,虹魔教主克星,50,50,200000,0,0,0,0,虹魔教主征服者,100,50,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,10059,在祖玛寺庙击败%d个祖玛老鼠、角蝇或楔蛾。,img://UI_Achievement.monster.1071,3,10,祖玛动物杀手,50,10,8600,0,0,0,0,祖玛动物猎手,200,10,21600,0,0,0,0,祖玛动物宿敌,1000,10,51800,0,0,0,0,祖玛动物克星,3000,30,108000,0,0,0,0,祖玛动物的噩梦,10000,50,242000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,10060,在祖玛寺庙击败%d个祖玛卫士、祖玛雕像或祖玛弓手。,img://UI_Achievement.monster.1072,3,10,祖玛守卫杀手,50,10,10800,0,0,0,0,祖玛生物猎手,200,10,27000,0,0,0,0,祖玛生物宿敌,1000,10,64800,0,0,0,0,祖玛生物克星,3000,30,135000,0,0,0,0,祖玛生物的噩梦,10000,50,302000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,10061,在祖玛寺庙击败%d个祖玛鼠卫:妖风、长牙或灵爪。,img://UI_Achievement.monster.1086,3,10,祖玛鼠卫征服者,1,20,8500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,10062,在祖玛寺庙击败%d个石像守卫：劈颅、灾狱或夜冥。,img://UI_Achievement.monster.1089,3,10,石像守卫征服者,1,20,8500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,10070,在祖玛寺庙击败%d次祖玛教主。,img://UI_Achievement.monster.5301,3,10,首杀：祖玛教主,1,50,70000,0,0,0,0,祖玛教主宿敌,10,50,140000,0,0,0,0,祖玛教主克星,50,50,280000,0,0,0,0,祖玛教主征服者,100,50,700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,10067,在幽冥海击败%d个僵尸海盗、剑客、掷矛手或锤兵。,img://UI_Achievement.monster.2110,3,11,海僵尸杀手,20,10,6500,0,0,0,0,海僵尸猎手,100,10,16000,0,0,0,0,海僵尸宿敌,500,10,39000,0,0,0,0,海僵尸克星,2000,30,81000,0,0,0,0,海僵尸的噩梦,5000,50,181000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,10066,在幽冥海击败%d个尖刺鱼人、双刀鱼人或鱼人死士。,img://UI_Achievement.monster.2105,3,11,鱼人杀手,20,10,6500,0,0,0,0,鱼人猎手,100,10,16000,0,0,0,0,鱼人宿敌,500,10,39000,0,0,0,0,鱼人克星,2000,30,81000,0,0,0,0,鱼人的噩梦,5000,50,181000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,10058,在幽冥海击败%d个海妖战士、海妖弓手或海妖法师。,img://UI_Achievement.monster.2107,3,11,海妖杀手,20,10,6500,0,0,0,0,海妖猎手,100,10,16000,0,0,0,0,海妖宿敌,500,10,39000,0,0,0,0,海妖克星,2000,30,81000,0,0,0,0,海妖的噩梦,5000,50,181000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,10068,在幽冥海击败%d个独眼魔、幻魔或火岩魔。,img://UI_Achievement.monster.2113,3,11,魔物杀手,20,10,6500,0,0,0,0,魔物猎手,100,10,16000,0,0,0,0,魔物宿敌,500,10,39000,0,0,0,0,魔物克星,2000,30,81000,0,0,0,0,魔物的噩梦,5000,50,181000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2117,0,在幽冥海击败%d个冥海魔神。,img://UI_Achievement.monster.2117,3,11,冥海魔神征服者,1,20,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,5500,0,在幽冥海击败%d次烈焰恶魔。,img://UI_Achievement.monster.5500,3,11,首杀：烈焰恶魔,1,50,100000,0,0,0,0,烈焰恶魔杀手,10,50,200000,0,0,0,0,烈焰恶魔克星,50,50,400000,0,0,0,0,烈焰恶魔征服者,100,50,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,10071,在赤月峡谷击败%d个蜘蛛怪物。,img://UI_Achievement.monster.3401,3,12,蜘蛛捕猎者,50,10,12000,0,0,0,0,蜘蛛清除者,200,10,30000,0,0,0,0,猎蛛高手,1000,10,72000,0,0,0,0,猎蛛专家,3000,30,150000,0,0,0,0,猎蛛大师,10000,50,336000,0,0,0,0,猎蛛之王,50000,100,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,10072,在赤月峡谷击败%d个血巨人或血僵尸。,img://UI_Achievement.monster.3402,3,12,血魔猎手,50,10,16200,0,0,0,0,血魔克星,200,10,40500,0,0,0,0,血魔死敌,1000,10,97200,0,0,0,0,血魔送葬者,3000,30,202500,0,0,0,0,血魔的噩梦,10000,50,453600,0,0,0,0,血魔终结者,50000,100,1620000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,10073,在赤月峡谷击败%d个恶魔帮凶：幻花、疯刺或残夜。,img://UI_Achievement.monster.3403,3,12,花落蛛亡,1,20,11800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,10074,在赤月峡谷击败%d个恶魔爪牙：蛇牙、幽灵或黑寡妇。,img://UI_Achievement.monster.3404,3,12,鬼见愁,1,20,11800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,10077,在赤月峡谷击败%d次赤月恶魔。,img://UI_Achievement.monster.3405,3,12,成就传奇的征服,1,50,95000,0,0,0,0,赤月恶魔杀手,10,50,190000,0,0,0,0,赤月恶魔克星,50,50,380000,0,0,0,0,赤月恶魔征服者,100,50,950000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
