JourneyId,MinLevel,MaxLevel,ForceId,VerFlag,AchievementBaseClass,AchievementSubClass,JourneyTitle,NpcName,JourneyIcon,JourneyDesc,JourneyTalk0,JourneySound0,JourneyTalk1,JourneySound1,JourneyTalk2,JourneySound2,JourneyTalk3,JourneySound3,JourneyTalk4,JourneySound4,JourneyAward,StoryQuestStar,MonsterStar,EventStar,AchievementStar,GuildStar,BossStar,ActivityQuestStar,GuideQuestStar,Monster0,MonsterName0,MonsterType0,MonsterMap0,MonsterMapRegion0,MonsterPoint0,Monster1,MonsterName1,MonsterType1,MonsterMap1,MonsterMapRegion1,MonsterPoint1,Monster2,MonsterName2,MonsterType2,MonsterMap2,MonsterMapRegion2,MonsterPoint2,Monster3,MonsterName3,MonsterType3,MonsterMap3,MonsterMapRegion3,MonsterPoint3,Monster4,MonsterName4,MonsterType4,MonsterMap4,MonsterMapRegion4,MonsterPoint4,Monster5,MonsterName5,MonsterType5,MonsterMap5,MonsterMapRegion5,MonsterPoint5,Monster6,MonsterName6,MonsterType6,MonsterMap6,MonsterMapRegion6,MonsterPoint6,Monster7,MonsterName7,MonsterType7,MonsterMap7,MonsterMapRegion7,MonsterPoint7,Monster8,MonsterName8,MonsterType8,MonsterMap8,MonsterMapRegion8,MonsterPoint8,Monster9,MonsterName9,MonsterType9,MonsterMap9,MonsterMapRegion9,MonsterPoint9,Monster10,MonsterName10,MonsterType10,MonsterMap10,MonsterMapRegion10,MonsterPoint10,Monster11,MonsterName11,MonsterType11,MonsterMap11,MonsterMapRegion11,MonsterPoint11,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,10,30,0,3,2,<龙卫之乡>,南苍公,img://MMOUIFaceIcon.mirnpc.oldman_3,　　这村子，从早到晚喧闹不停，稻草人又四处走动不安分了，阿妍家的鸡又被钉耙猫抢走了，日复一日……直到最近，边界村迎来了龙卫的弟子们，这里就更热闹啦！看着他们拿着木剑追逐在稻草人身后的摸样，让我想起当年的那群少年。<br><br><font color='#FFFF00'>※完成当前章节指引的剧情、杀怪、BOSS、活动等内容均可获得“传说声望”</font>,记得多练功夫，为你师父报仇！,,边界村是五龙卫的故乡，所有龙卫弟子的修行都是从这里开始的。,,稻草人为何会动？这个问题也困扰了我很多年……,,去多杀些钉耙猫吧，为乡亲们除害！,0,去多杀些钉耙猫吧，为乡亲们除害！,0,"201,301,321",5,4,3,3,1,3,2,1,801,0,0,142,MMOVolume_MapSize_0,"395,468",802,0,0,142,MMOVolume_MapSize_0,"508,540",823,0,0,142,MMOVolume_MapSize_0,"395,468",841,0,1,142,MMOVolume_MapSize_0,"400,550",838,0,1,142,MMOVolume_MapSize_0,"640,540",839,0,1,142,MMOVolume_MapSize_0,"510,583",842,稻草人精英,1,142,MMOVolume_MapSize_0,"0,0",843,钉耙猫精英,1,142,MMOVolume_MapSize_0,"0,0",844,半兽人精英,1,142,MMOVolume_MapSize_0,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",边界村
2,11,15,33,0,3,4,<巨木之森>,蒙武,img://MMOUIFaceIcon.NPC.magic_boy,　　袭击比奇的火龙逃走以后，沃玛教主眼看战局不利便率领半兽人残部逃入了沃玛森林，这里是他们的老窝，人类守卫的力量十分薄弱，我曾亲眼见到那些身穿兽皮裙的半兽人屠杀平民，作为盟重城主的儿子，我决不允许他们继续胡作非为！<br><br><font color='#FFFF00'>※完成当前章节指引的剧情、杀怪、BOSS、活动等内容均可获得“传说声望”</font>,沃玛森林是比奇城的屏障，作为此地驻军的最高长官，我要时刻提防半兽人的动向。,,我七岁成名，死在我刀下的半兽人不计其数，人称“半兽人的噩梦”。,,半兽人其实并不像看上去那般蠢笨，加上一身的蛮力，非常危险。,,有时我会怀念家乡盟重，但我深知只有好好完成城主交付的重任，我才能够衣锦还乡。,0,有时我会怀念家乡盟重，但我深知只有好好完成城主交付的重任，我才能够衣锦还乡。,0,"201,301,321",2,5,3,3,4,3,3,1,3131,0,0,145,MMOVolume_MapSize_0,"403,373",3132,0,0,145,MMOVolume_MapSize_0,"247,436",3134,0,0,145,MMOVolume_MapSize_0,"528,413",922,0,0,145,MMOVolume_MapSize_0,"332,314",923,0,0,145,MMOVolume_MapSize_0,"332,314",3120,兽战士,1,145,MMOVolume_MapSize_0,"0,0",3123,巨力士,1,145,MMOVolume_MapSize_0,"0,0",312,蛮战士,1,145,MMOVolume_MapSize_0,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",沃玛森林
3,16,17,36,0,3,5,<英雄土城>,蒙君毅,img://MMOUIFaceIcon.MirNPC.MengJunYi,　　我的许多兄弟都战死在这片荒原，但这并不影响我对这块热血之地的钟爱。我们蒙家世代镇守这座土城，目睹着一群又一群带着梦想的年轻人来到这里，为助行会夺下沙巴克，抑或为了石墓中的宝藏。五龙卫的时代结束之后，下一个站在土城巅峰的英雄会是谁呢？　<br><br><font color='#FFFF00'>※完成当前章节指引的剧情、杀怪、BOSS、活动等内容均可获得“传说声望”</font>,土城汇聚天下英豪，只要你够强，就能在这里获得金钱、荣耀和名声。,,盟重西面的乱石堆里有一个隐秘的洞口通往虫巢，那里就是传说中的蜈蚣洞。,,想要夺下沙巴克，个人实力固然重要，但更重要的是行会成员的团结和精密的作战计划。,,找几个志同道合的朋友一起闯荡吧！,0,找几个志同道合的朋友一起闯荡吧！,0,"201,301,321",1,5,3,3,4,4,3,1,961,0,0,147,MMOVolume_MapSize_0,"616,362",962,0,0,147,MMOVolume_MapSize_0,"377,365",970,0,0,147,MMOVolume_MapSize_0,"381,406",963,0,0,147,MMOVolume_MapSize_0,"603,617",3180,盔甲虫精英,1,147,MMOVolume_MapSize_0,"0,0",3183,废墟魔狼,1,147,MMOVolume_MapSize_0,"0,0",3186,铁腹角虫,1,147,MMOVolume_MapSize_0,"0,0",3189,古迹巨食虫,1,147,MMOVolume_MapSize_0,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",5282,0,2,147,MMOVolume_MapSize_0,"220,535",盟重省
4,18,23,39,0,3,6,<昔日龙脉>,飞虎,img://MMOUIFaceIcon.mirnpc.feihu,　　如果再给我一次选择的机会，我绝不会跟将军打那个赌，在矿区尸气蔓延之前我就该注意到这一切都是一个阴谋……比奇附近最大的矿脉就这样沦陷了，没了黑铁矿便无法提升神兵的品质，狮卫队的实力大大削弱，我们全都落入了沃玛教主的如意算盘！<br><br><font color='#FFFF00'>※完成当前章节指引的剧情、杀怪、BOSS、活动等内容均可获得“传说声望”</font>,比奇矿区尸气弥漫，这里可不是鼠辈该来的地方，够强再来挑战吧，不要白白送死！,,洞中的僵尸已经没了记忆，丧失了感情，杀了它们是令其解脱的最好办法。,,矿区出产的黑铁矿十分珍惜，一定要想办法将矿区从尸王手中夺回来。,,或许某一天我也会死在这里并变成僵尸，如果真有那一天，我希望你立刻将我杀掉。,0,或许某一天我也会死在这里并变成僵尸，如果真有那一天，我希望你立刻将我杀掉。,0,"201,301,321",1,5,3,3,4,4,3,1,901,0,0,144,MMOVolume_MapSize_0,"474,190",3094,堕落僵尸,1,144,MMOVolume_MapSize_0,"0,0",3097,僵尸护卫,1,144,MMOVolume_MapSize_0,"0,0",3100,僵尸强盗,1,153,MMOVolume_MapSize_0,"0,0",3106,僵尸道士,1,153,MMOVolume_MapSize_0,"0,0",3103,和尚僵尸,1,154,MMOVolume_MapSize_0,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",5268,0,2,207,MMOVolume_MapSize_3,"844,161",矿区
5,24,27,40,0,3,7,<沃玛珍宝>,商人潘龙,img://MMOUIFaceIcon.mirnpc.JiangShangXiaoPan,　　许多人一听“沃玛寺庙”这几个字就顿时吓的屁滚尿流！哈哈，岂不知这里藏有很多宝贝，听说过“传送戒指”吗？没错没错！就是那件稀世珍宝，据说就藏在此地，不冒险一试就放弃的话实在是太可惜了，这可是一本万利的生意！<br><br><font color='#FFFF00'>※完成当前章节指引的剧情、杀怪、BOSS、活动等内容均可获得“传说声望”</font>,俗话说“富贵险中求”，说的就是这里啦！带上你的小伙伴来这里一起发大财吧！,,据说火焰沃玛喷出的火焰能融化钢铁，真不晓得它们是如何学会这些邪门魔法的。,,沃玛教是半兽人族中的老牌邪教，至于有多邪恶……看看寺庙里那些畸形的生物就知道了。,,很多到这里来找“传送戒指”的家伙都送了命，不是被怪物杀死，就是被“同行”干掉。,0,很多到这里来找“传送戒指”的家伙都送了命，不是被怪物杀死，就是被“同行”干掉。,0,"201,301,321",1,5,3,3,4,4,3,1,941,0,0,146,MMOVolume_MapSize_0,"533,300",942,0,0,146,MMOVolume_MapSize_0,"434,563",943,0,0,155,MMOVolume_MapSize_0,"481,419",944,0,0,155,MMOVolume_MapSize_0,"581,747",3162,裂地巨魔,1,146,MMOVolume_MapSize_0,"0,0",3156,鬼域守卫,1,146,MMOVolume_MapSize_0,"0,0",3150,堕落恶魔,1,155,MMOVolume_MapSize_0,"0,0",3153,疯魔卫,1,155,MMOVolume_MapSize_0,"0,0",0,0,0,0,0,"0,0",3159,烈焰神卫,1,155,MMOVolume_MapSize_0,"0,0",0,0,0,0,0,"0,0",5278,0,2,156,MMOVolume_MapSize_1,"169,391",沃玛寺庙
6,28,31,42,0,3,8,<毒虫迷宫>,小虾米,img://MMOUIFaceIcon.MirNPC.XiaoXiaMi,　　我第一次来到死亡峡谷完全是个偶然，那时我和一帮刚刚加入光芒行会的新人在盟重野外杀羊挖肉，不知不觉竟闯入了这个深不见底的洞穴，当时只觉洞中昏暗无光，阴风阵阵，幸好同伴点亮了身上的蜡烛，我才看清了这遍布洞中的毒虫，吓的屁滚尿流……<br><br><font color='#FFFF00'>※完成当前章节指引的剧情、杀怪、BOSS、活动等内容均可获得“传说声望”</font>,我小虾米天不怕地不怕，可就怕来到这“蜈蚣洞”，倒不是怕毒虫，而是怕迷路……,,我本以为“触龙神”是条龙，没想到是条巨大的蜈蚣。,,不知道是蜈蚣洞中虫子的毒液厉害，还是道士的毒药厉害……,,脆弱的法师很怕一些近身毒虫，他们大多会选择带上其他职业的伙伴一起前往死亡峡谷。,0,脆弱的法师很怕一些近身毒虫，他们大多会选择带上其他职业的伙伴一起前往死亡峡谷。,0,"201,301,321",1,5,3,3,4,4,3,1,1011,0,0,148,MMOVolume_MapSize_1,"571,325",1012,0,0,158,MMOVolume_MapSize_2,"888,333",1013,0,0,157,MMOVolume_MapSize_2,"762,123",1014,0,0,201,MMOVolume_MapSize_2,"228,688",3210,钻地幽龙,1,148,MMOVolume_MapSize_1,"0,0",3213,巨蠕虫,1,148,MMOVolume_MapSize_1,"0,0",3219,杀人蜂,1,201,MMOVolume_MapSize_2,"0,0",3216,钳虫精英,1,157,MMOVolume_MapSize_2,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",5287,0,2,203,MMOVolume_MapSize_1,"188,748",死亡山谷
7,32,35,41,0,3,9,<猪妖秘宝>,虾老大,img://MMOUIFaceIcon.MirNPC.XiaLaoDa,　　打死我都不会相信这么华美的地下宫殿是那些蠢头蠢脑的猪妖建造的，这里一定隐藏着不少秘密……不然这些秘宝和神兵都是哪里来的？我虾老大纵横玛法几十年，常常带着行会的弟兄前来这里围剿野猪人，有胆就来吧！这里绝对不会让你失望。<br><br><font color='#FFFF00'>※完成当前章节指引的剧情、杀怪、BOSS、活动等内容均可获得“传说声望”</font>,“火墙烧猪”是个不错的战术，听着猪妖不绝于耳的哀嚎和叮叮当当的掉宝声，很是享受。,,虹魔猪妖竟然在土城中央的地宫里躲藏了这么多年，是不是有什么阴谋？,,虹魔教主的魂魄被封印在封魔谷，就算石墓中的猪妖闹事，谅他们也掀不起什么大浪。,,行会的弟兄如果缺钱花，我就会带他们来石墓耍耍，每次都满载而归。,0,行会的弟兄如果缺钱花，我就会带他们来石墓耍耍，每次都满载而归。,0,"201,301,321",1,5,3,3,4,4,3,1,1031,0,0,149,MMOVolume_MapSize_0,"305,286",1032,0,0,149,MMOVolume_MapSize_0,"305,286",1033,0,0,149,MMOVolume_MapSize_0,"305,286",1034,0,0,149,MMOVolume_MapSize_0,"305,286",1045,尖牙卫,1,149,MMOVolume_MapSize_0,"0,0",1048,咆哮战士,1,159,MMOVolume_MapSize_0,"0,0",3240,邪血卫士,1,161,MMOVolume_MapSize_0,"0,0",1052,虹魔猪卫,1,164,MMOVolume_MapSize_5,"0,0",1054,虹魔蝎卫,1,164,MMOVolume_MapSize_5,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",5293,0,2,164,MMOVolume_MapSize_5,"288,320",石墓
8,36,37,51,0,3,10,<祖玛旧梦>,玲雅,img://MMOUIFaceIcon.NPC.princess,　　在我看来，祖玛寺庙是玛法大陆上最为黑暗的角落，像暴君一样统治着那里的祖玛教主既残暴又无知，他自忖强大却又躲在寺庙深处以石身示人，他曾放言“净化”整个玛法，杀人无数，犯下不可饶恕的罪行，其中包括我痛苦死去的姐姐。我决不饶恕他！<br><br><font color='#FFFF00'>※完成当前章节指引的剧情、杀怪、BOSS、活动等内容均可获得“传说声望”</font>,这么多年过去了，祖玛寺庙一点没变，除了那些成了精的耗子。,,祖玛教主再怎么强大也只不过是个懦夫，躲在石身之中的奇怪修行，只是装神弄鬼罢了。,,祖玛阁是这座迷宫里最大的迷魂阵，千万别被不断变幻的房间迷惑。,,祖玛阁是这座迷宫里最大的迷魂阵，千万别被不断变幻的房间迷惑。,,祖玛阁是这座迷宫里最大的迷魂阵，千万别被不断变幻的房间迷惑。,0,"201,301,321",1,5,3,3,4,4,3,1,1071,0,0,180,MMOVolume_MapSize_0,"241,288",1076,0,0,167,MMOVolume_MapSize_0,"109,111",1077,0,0,180,MMOVolume_MapSize_0,"241,288",1072,0,0,169,MMOVolume_MapSize_1,"359,367",1073,0,0,170,MMOVolume_MapSize_5,"107,264",1074,0,0,168,MMOVolume_MapSize_1,"271,319",1086,祖玛鼠卫,1,168,MMOVolume_MapSize_1,"0,0",1089,石像守卫,1,169,MMOVolume_MapSize_1,"0,0",3301,祖玛弓卫,1,170,MMOVolume_MapSize_5,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",5301,0,2,173,MMOVolume_MapSize_1,"0,0",祖玛寺庙
9,38,38,25,3,3,14,<白日围城>,少年将领,img://MMOUIFaceIcon.mirnpc.feihu,        白日门位于玛法大陆西北，是镇压赤月恶魔的前哨，后因为地处要道，商贸繁荣，逐渐兴盛起来。近日却受到大批兽人与海族的围攻。兽人与海族原本是比奇大军的手下败将，而今却源源不绝，气势难当。白日门存亡一线，只能仰赖勇士揭露这背后的真相。<br><br><font color='#FFFF00'>※完成当前章节指引的剧情、杀怪、BOSS、活动等内容均可获得“传说声望”</font>,白日门位于玛法大陆西北，是镇压赤月恶魔的前哨，后因为地处要道，商贸繁荣，逐渐兴盛起来。,,白日门近日受到大批兽人与海族的围攻。,,兽人与幽冥海海族勾结，从遥远的石原跨海而来,,兽人与海族原本是比奇大军的手下败将，而今却源源不绝，气势难当。,,白日门存亡一线，有赖于勇士施与援手,0,"201,301,321",1,5,3,3,4,4,3,1,2454,0,0,102,MMOVolume_MapSize_0,"463,324",2455,0,0,102,MMOVolume_MapSize_0,"463,324",2456,0,0,102,MMOVolume_MapSize_0,"463,324",2458,0,0,102,MMOVolume_MapSize_0,"350,612",2459,0,0,102,MMOVolume_MapSize_0,"350,612",0,0,0,0,"0,0","0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",,,,,,,,,,,,,,,,,,,,,,,,,白日门城
10,39,39,57,3,3,11,<赤月恶魔>,无涯,img://MMOUIFaceIcon.mirnpc.WuYa,　　潮湿阴暗的赤月峡谷再次掀起腥风血雨，如果不是身临此地，我根本不会想到世上真有地狱。如果你有幸进入恶魔祭坛，别忘了看一眼石棺上的枯骨，那是我的师兄无名，作为探知赤月恶魔最早的先驱者，那副枯骨时刻提醒着后来者要对玛法大陆永远心怀敬畏。<br><br><font color='#FFFF00'>※完成当前章节指引的剧情、杀怪、BOSS、活动等内容均可获得“传说声望”</font>,赤月峡谷危险重重，和强力伙伴同行才是明智之举。,,很多人都为了赤月峡谷的宝藏而来却送了命。,,你必须随时注意月魔蜘蛛的动向，猎物会被其石化至死，因而又被称为“阎罗王”。,,你必须随时注意月魔蜘蛛的动向，猎物会被其石化至死，因而又被称为“阎罗王”。,,赤月峡谷危险重重，和强力伙伴同行才是明智之举。,0,"201,301,321",1,5,3,3,4,4,3,1,1092,0,0,191,MMOVolume_MapSize_3,"298,232",1096,0,0,191,MMOVolume_MapSize_3,"298,232",1112,0,0,187,MMOVolume_MapSize_0,"7,314,866,496",1095,0,0,187,MMOVolume_MapSize_0,"11,197,566,825",1122,双头金刚,1,198,MMOVolume_MapSize_0,"0,0",1111,双头血魔,1,198,MMOVolume_MapSize_0,0,5306,赤月恶魔,1,199,MMOVolume_MapSize_0,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",赤月
11,40,40,58,4,3,12,<魔龙岭>,龙火,img://MMOUIFaceIcon.mirnpc.mlchengzhu,　　我从小在魔龙城长大，目睹了神龙堕落和魔龙城的兴衰，随之而来的便是魔龙军团的不断进攻，伴随着鲜血、死亡和城池的侵塌，我所经历的一切告诉我，像以前那样靠着祭祀，供奉神龙虚妄的雕像，根本不能为这里带来和平和希望。从我的弟弟翻山越岭前往盟重求救之后，我便天天祈盼有勇士前来拯救魔龙城，就像当年的龙卫们那样。<br><br><font color='#FFFF00'>※完成当前章节指引的剧情、杀怪、BOSS、活动等内容均可获得“传说声望”</font>,我们曾经供奉着三条神龙，神龙堕落摧毁了一切。,,魔龙城危在旦夕，人们祈盼着勇士能从魔龙军团的铁蹄下拯救他们。,,据说魔龙教主本不属于这里，最终却操纵了魔龙，毁灭了一切。,,魔龙邪眼是魔龙教主用以监视人类动向的怪物。,,魔龙城危在旦夕，人们祈盼着勇士能从魔龙军团的铁蹄下拯救他们。,0,"201,301,321",1,5,3,3,4,4,3,1,1131,0,0,232,MMOVolume_MapSize_1,"368,370",1135,0,0,231,MMOVolume_MapSize_0,"358,429",1137,0,0,232,MMOVolume_MapSize_1,"368,370",1138,0,0,231,MMOVolume_MapSize_0,"358,429",1146,0,1,235,MMOVolume_MapSize_4,"0,0",1148,0,1,235,MMOVolume_MapSize_4,"0,0",5283,0,1,244,MMOVolume_MapSize_13,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",魔龙岭
12,41,43,21,4,3,16,<岛现妖踪>,老旧园丁,img://MMOUIFaceIcon.mirnpc.oldman_2,        赤月群岛的古树平静了千年了，近期却不知道因为什么躁动起来，充斥着邪恶能量的身体影响着群岛的整个生态。妖师一族奉命来查探结果发现古树被赤月恶魔的血肉块污染，决定成立染血之锋阵营来催化妖树的妖性。而原住民一方为了守护自己家园成立了神树守护联盟来维护神树的自然生长。双方就此展开争斗...<br><br><font color='#FFFF00'>※完成当前章节指引的剧情、杀怪、BOSS、活动等内容均可获得“传说声望”</font>,染血之锋的理念是催化妖树的妖性后毁灭妖树。,,神树守护的信念是维护神树的自然生长，是原住民为了对抗染血之锋所成立的联盟。,,哎，我的父亲，我的爷爷，都是在这个岛上照顾这颗树直到生命逝去。,,古树之前沉静了千年，到底现在为何躁动。,,赤月群岛想要恢复往日的平静，还要靠勇士们来平息了！,0,"201,301,321",1,5,3,3,4,4,3,1,2763,0,0,105,MMOVolume_MapSize_0,"472,121",2770,0,0,105,MMOVolume_MapSize_0,"314,371",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",赤月群岛
13,44,46,63,6,3,13,<登峰造极>,红莉,img://MMOUIFaceIcon.mirnpc.LingYue,　　苍月岛风景优美，以前可是玛法大陆的结婚胜地，如今牛魔王和黄泉教主又兴兵作乱，我们苍月族的首领苍月神女也不知所踪，在这天下大乱的时刻，小女子我临危受命，看来也只得依仗勇士们的帮助了。<br><br><font color='#FFFF00'>※完成当前章节指引的剧情、杀怪、BOSS、活动等内容均可获得“传说声望”</font>,苍月岛风景优美，一直以来都是玛法大陆的结婚胜地。,,黄泉教主和牛魔王是苍月岛上的人类最为恐惧的敌人。,,黄泉教主和牛魔王是苍月岛上的人类最为恐惧的敌人。,,苍月神女是苍月族的领袖，每一代神女的灵力血脉相传。,,苍月神女是苍月族的领袖，每一代神女的灵力血脉相传。,0,"201,301,321",1,5,3,3,4,4,3,1,301,0,0,51,MMOVolume_MapSize_6,"461,255",308,0,0,56,MMOVolume_MapSize_3,"128,258",321,0,0,60,MMOVolume_MapSize_1,"443,434",2501,0,1,53,MMOVolume_MapSize_1,"0,0",307,0,1,54,MMOVolume_MapSize_0,"0,0",334,牛魔精英,1,64,MMOVolume_MapSize_2,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",5201,0,2,55,MMOVolume_MapSize_4,"172,350",5202,0,2,66,MMOVolume_MapSize_0,"144,169",苍月岛
14,47,49,23,7,3,15,<踏雪屠龙>,林威将军,img://MMOUIFaceIcon.NPC.General,　　黑岩峰是玛法大陆之巅，巍峨高耸，隔绝了极寒雪域和白日门城。那里的雪民与本城相安无事已久，但最近似乎因为山下的元素喷涌而有所异动。我城方才经历石原兽人的侵袭，实在无力再应对一个新的强敌，只能请勇士前往雪域，一探究竟。<br><br><font color='#FFFF00'>※完成当前章节指引的剧情、杀怪、BOSS、活动等内容均可获得“传说声望”</font>,龙耀崖的优良港口，使其成为沟通被雪山阻隔之地的枢纽,,雪山下流泻出的狂暴元素，同时威胁着雪民和白日门城,,雪民曾经赖以抵御元素的龙裔霸主不知何故陷入疯狂,,雪山之下，生命的禁地，似乎有惊世风暴正在酝酿,,传说重伤的龙王没有死去，而是蛰伏在雪山之下,0,"201,301,321",1,5,3,3,4,4,3,1,2531,0,0,113,MMOVolume_MapSize_0,"633,280",2544,0,0,113,MMOVolume_MapSize_0,"701,403",2543,0,0,113,MMOVolume_MapSize_0,"549,291",2537,0,0,113,MMOVolume_MapSize_0,"512,424",2535,0,1,113,MMOVolume_MapSize_0,"619,236",2539,0,1,113,MMOVolume_MapSize_0,"359,641",2538,0,0,114,MMOVolume_MapSize_3,"403,697",2540,0,0,114,MMOVolume_MapSize_3,"286,648",2532,0,0,114,MMOVolume_MapSize_3,"115,682",2547,0,0,114,MMOVolume_MapSize_3,"135,439",0,0,0,0,0,"0,0",0,0,0,0,0,"0,0",凌月崖
